fold,bandwidth_h,Method,degree,c1,c2,coefficients
1,5.029950910123491,Silverman,,,,
2,4.990063884780086,Silverman,,,,
3,4.8307090638976,Silverman,,,,
4,4.870150477882371,Silverman,,,,
5,4.760859280132341,Silverman,,,,
1,2.9537709993720496,Kernel_5Fold_CV,,,,
2,2.6272917397814184,Kernel_5Fold_CV,,,,
3,3.847299795937696,Kernel_5Fold_CV,,,,
4,3.5816508589436418,Kernel_5Fold_CV,,,,
5,2.9366359992326885,Kernel_5Fold_CV,,,,
1,2.6880470214734564,Kernel_LOOCV,,,,
2,2.922014928295222,Kernel_LOOCV,,,,
3,3.2710115983363797,Kernel_LOOCV,,,,
4,3.146995623657254,Kernel_LOOCV,,,,
5,2.7386157618012095,Kernel_LOOCV,,,,
1,,Entropy,5.0,0.42857142857142855,0.5714285714285714,"-394.661341, 32.212552, -1.023732, 0.015882, -0.000120, 0.000000"
2,,Entropy,5.0,0.6666666666666666,0.3333333333333333,"-466.653337, 37.987485, -1.207243, 0.018765, -0.000143, 0.000000"
3,,Entropy,5.0,1.0,0.0,"-472.002487, 38.041842, -1.197115, 0.018426, -0.000139, 0.000000"
4,,Entropy,5.0,0.42857142857142855,0.5714285714285714,"-368.327886, 30.221937, -0.965226, 0.015048, -0.000114, 0.000000"
5,,Entropy,5.0,0.0,1.0,"-370.342968, 30.404044, -0.970948, 0.015131, -0.000115, 0.000000"
