fold,bandwidth_h,Method,degree,c1,c2,coefficients
1,0.37066807150535336,Silverman,,,,
2,0.367728709466577,Silverman,,,,
3,0.35598550457312383,Silverman,,,,
4,0.35889202853735475,Silverman,,,,
5,0.3508381214065754,Silverman,,,,
1,0.2176698380464606,Kernel_5Fold_CV,,,,
2,0.19361088589306058,Kernel_5Fold_CV,,,,
3,0.28351570290974515,Kernel_5Fold_CV,,,,
4,0.2639396765583498,Kernel_5Fold_CV,,,,
5,0.2164071224542707,Kernel_5Fold_CV,,,,
1,0.1980880594355628,Kernel_LOOCV,,,,
2,0.21532966379671853,Kernel_LOOCV,,,,
3,0.24104879497453874,Kernel_LOOCV,,,,
4,0.231908982853026,Kernel_LOOCV,,,,
5,0.20181458030501193,Kernel_LOOCV,,,,
1,,Entropy,5.0,0.42857142857142855,0.5714285714285714,"0.175552, 1.683482, -0.593283, -0.745283, 0.170655, 0.143183"
2,,Entropy,5.0,0.6666666666666666,0.3333333333333333,"0.252638, 1.656729, -0.751474, -0.795248, 0.220828, 0.167116"
3,,Entropy,6.0,0.3333333333333333,0.6666666666666666,"0.235715, 1.661432, -1.059219, -0.700933, 0.579177, 0.129804, -0.085528"
4,,Entropy,5.0,0.42857142857142855,0.5714285714285714,"0.208011, 1.590291, -0.631232, -0.696820, 0.177661, 0.134988"
5,,Entropy,5.0,0.0,1.0,"0.174976, 1.573272, -0.595630, -0.697459, 0.178831, 0.137832"
