degree;noise_level;method;imse_mean;imse_sem;imae_mean;imae_sem;maxerr_mean;maxerr_sem;n_used;n_total;n_removed
1;high;entropy;0,065;0,004;0,190;0,007;0,368;0,013;274;300;26
1;low;entropy;0,072;0,004;0,204;0,007;0,392;0,013;282;300;18
1;moderate;entropy;0,058;0,003;0,181;0,007;0,350;0,012;273;300;27
2;high;entropy;0,119;0,006;0,260;0,007;0,435;0,015;271;300;29
2;low;entropy;0,112;0,005;0,254;0,007;0,442;0,015;280;300;20
2;moderate;entropy;0,131;0,006;0,278;0,007;0,428;0,014;286;300;14
3;high;entropy;0,116;0,005;0,256;0,006;0,412;0,014;269;300;31
3;low;entropy;0,153;0,006;0,298;0,006;0,463;0,014;271;300;29
3;moderate;entropy;0,153;0,007;0,295;0,007;0,453;0,015;268;300;32
4;high;entropy;0,148;0,006;0,288;0,007;0,450;0,015;269;300;31
4;low;entropy;0,185;0,008;0,328;0,007;0,524;0,015;272;300;28
4;moderate;entropy;0,158;0,007;0,298;0,007;0,479;0,015;268;300;32
5;high;entropy;0,167;0,007;0,304;0,007;0,457;0,014;268;300;32
5;low;entropy;0,196;0,009;0,326;0,008;0,506;0,016;271;300;29
5;moderate;entropy;0,163;0,007;0,303;0,006;0,464;0,014;263;300;37
6;high;entropy;0,174;0,007;0,315;0,007;0,491;0,015;272;300;28
6;low;entropy;0,231;0,011;0,351;0,008;0,534;0,015;264;300;36
6;moderate;entropy;0,194;0,008;0,324;0,007;0,509;0,016;268;300;32
