degree;noise_level;method;imse_mean;imse_sem;imae_mean;imae_sem;maxerr_mean;maxerr_sem;n_used;n_total;n_removed
1;high;entropy;0,104;0,009;0,220;0,009;0,407;0,016;300;300;0
1;low;entropy;0,101;0,008;0,226;0,008;0,421;0,015;300;300;0
1;moderate;entropy;0,091;0,008;0,211;0,008;0,411;0,017;300;300;0
2;high;entropy;0,204;0,032;0,294;0,010;0,521;0,023;300;300;0
2;low;entropy;0,156;0,015;0,276;0,008;0,507;0,023;300;300;0
2;moderate;entropy;0,154;0,009;0,293;0,008;0,463;0,018;300;300;0
3;high;entropy;0,155;0,009;0,283;0,008;0,476;0,018;300;300;0
3;low;entropy;0,246;0,031;0,329;0,009;0,526;0,020;300;300;0
3;moderate;entropy;0,246;0,029;0,333;0,011;0,550;0,029;300;300;0
4;high;entropy;0,225;0,029;0,318;0,009;0,514;0,020;300;300;0
4;low;entropy;0,247;0,016;0,358;0,009;0,574;0,018;300;300;0
4;moderate;entropy;0,243;0,020;0,333;0,009;0,551;0,026;300;300;0
5;high;entropy;0,258;0,024;0,341;0,010;0,520;0,020;300;300;0
5;low;entropy;0,264;0,016;0,359;0,010;0,584;0,024;300;300;0
5;moderate;entropy;0,294;0,032;0,351;0,011;0,574;0,030;300;300;0
6;high;entropy;0,231;0,014;0,341;0,009;0,547;0,020;300;300;0
6;low;entropy;0,473;0,111;0,405;0,013;0,629;0,024;300;300;0
6;moderate;entropy;0,295;0,037;0,360;0,012;0,622;0,028;300;300;0
