degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,n_used,n_total,n_removed
1,high,entropy,0.10446022879222054,0.009047778492122117,0.21969337456266713,0.008641034804496395,0.40670424626639984,0.01605753270388254,300,300,0
1,low,entropy,0.10094964390562595,0.008190380198483107,0.2257523768267759,0.008224998868715592,0.42054405918296595,0.0147444437928714,300,300,0
1,moderate,entropy,0.09063036740259532,0.007906235202087998,0.2106994400427955,0.008349172174565208,0.4113285742695085,0.0170646095035726,300,300,0
2,high,entropy,0.204080673878538,0.031757654227272836,0.2943505112082049,0.009968510734174749,0.5207050411117481,0.023463082195849343,300,300,0
2,low,entropy,0.1559259295676228,0.014796651980660528,0.27632566006708226,0.00833327447108025,0.5068485484897064,0.023337080799652778,300,300,0
2,moderate,entropy,0.1541629820373704,0.008689193377079713,0.29319616398417797,0.007967308816163908,0.4626969931429853,0.017594508806615245,300,300,0
3,high,entropy,0.15468549111346688,0.009179477698350477,0.28326666612598617,0.007631065676135167,0.47610009855266705,0.018254757402134395,300,300,0
3,low,entropy,0.2460949926118173,0.03098066360246574,0.32861432047433525,0.008890198724980173,0.5264257451866257,0.02035413528255613,300,300,0
3,moderate,entropy,0.24558871888950004,0.028875938319077435,0.33317837336995526,0.010747165082530008,0.5504578966321687,0.02851652750864976,300,300,0
4,high,entropy,0.22537645176655616,0.0288540108581085,0.3182500400791336,0.00872855936840684,0.514015332223087,0.019713313065404,300,300,0
4,low,entropy,0.24708520640268564,0.016017751182838703,0.35786053522335703,0.00946251972303812,0.5735607918667471,0.01835494667503487,300,300,0
4,moderate,entropy,0.24337932820581154,0.020042676052107706,0.332752577250412,0.009302287948504984,0.5509910911375511,0.026120104454477218,300,300,0
5,high,entropy,0.25814364669727635,0.02413945212748226,0.3405165766407942,0.009618943525072962,0.5200435035616334,0.020100315738984336,300,300,0
5,low,entropy,0.26396344285146656,0.016266715302675885,0.3590667969586594,0.009543958830616203,0.5835005474130066,0.023715007292247167,300,300,0
5,moderate,entropy,0.29388070255361376,0.03150350726696776,0.35106170732139125,0.010887253344389954,0.5740803688632663,0.030462887551923508,300,300,0
6,high,entropy,0.23109690357229073,0.013954185621436962,0.34097163753665777,0.008538880895751642,0.5472800930894137,0.0197625524451496,300,300,0
6,low,entropy,0.47319538959621693,0.11122141407014878,0.4046531550083041,0.012805818335493433,0.6287867570590706,0.02356535741790536,300,300,0
6,moderate,entropy,0.2949918988782797,0.037136415620425675,0.3603276526087591,0.012165682239638086,0.6218455968997053,0.028461473076950763,300,300,0
