seed,noise_level,true_degree,true_coefficients,selected_degree,selected_coefficients,c1,c2,source_file,true_coeff_0,true_coeff_1,true_coeff_2,true_coeff_3,true_coeff_4,true_coeff_5,true_coeff_6
1,low,1,"[-25.855123950633004, 19.330094177238003]",1,"[-26.55512846637323, 20.204285820588314]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_low.csv,-25.855123950633004,19.330094177238003,,,,,
2,low,1,"[-9.658242776932996, -16.4008945123143]",1,"[-9.91260392820225, -15.47594033406039]",0.0,1.0,polynomial_params_deg1_noise_level_low.csv,-9.658242776932996,-16.4008945123143,,,,,
3,low,1,"[-16.37155677691238, 12.586137818049428]",1,"[-16.726758937836692, 12.908247602862277]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_low.csv,-16.37155677691238,12.586137818049428,,,,,
4,low,1,"[5.256725799475037, 11.726098974151125]",4,"[5.321632300467838, -5.72762094156979, 98.55953220849949, -157.3954998890035, 76.54113740027032]",0.5,0.5,polynomial_params_deg1_noise_level_low.csv,5.256725799475037,11.726098974151125,,,,,
5,low,1,"[21.83338300061376, 24.33274976291392]",1,"[21.528442326975625, 24.6676324897783]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_low.csv,21.83338300061376,24.33274976291392,,,,,
6,low,1,"[11.817159315827102, -17.874237763210203]",1,"[11.614154867250654, -17.37082479926308]",0.2,0.8,polynomial_params_deg1_noise_level_low.csv,11.817159315827102,-17.874237763210203,,,,,
7,low,1,"[-23.56437307130239, 13.904941882656814]",1,"[-23.14583134851765, 13.058439042573207]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_low.csv,-23.56437307130239,13.904941882656814,,,,,
8,low,1,"[-18.098432383299485, -20.70271524060018]",1,"[-18.07885016710116, -20.739603247801814]",1.0,0.0,polynomial_params_deg1_noise_level_low.csv,-18.098432383299485,-20.70271524060018,,,,,
9,low,1,"[-11.46154638354497, 11.893943191552042]",1,"[-11.399262658236653, 11.673752333792068]",0.0,1.0,polynomial_params_deg1_noise_level_low.csv,-11.46154638354497,11.893943191552042,,,,,
10,low,1,"[68.10176715372462, -16.087050287008974]",1,"[68.42837469998832, -17.166327624909528]",0.5,0.5,polynomial_params_deg1_noise_level_low.csv,68.10176715372462,-16.087050287008974,,,,,
11,low,1,"[10.246057071800005, -13.05962083370515]",2,"[9.61916966859705, -9.43445590052828, -4.211011137351408]",0.2,0.8,polynomial_params_deg1_noise_level_low.csv,10.246057071800005,-13.05962083370515,,,,,
12,low,1,"[-12.662116625660277, -12.852977434979202]",2,"[-12.147782559187096, -17.26152088966684, 4.749804702980047]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_low.csv,-12.662116625660277,-12.852977434979202,,,,,
13,low,1,"[-11.475981295904443, 18.62133721279441]",1,"[-11.952311751063464, 19.350829712573837]",0.0,1.0,polynomial_params_deg1_noise_level_low.csv,-11.475981295904443,18.62133721279441,,,,,
14,low,1,"[-14.853593986547144, 16.306649077704606]",1,"[-14.927276674989653, 16.6880367233436]",0.5,0.5,polynomial_params_deg1_noise_level_low.csv,-14.853593986547144,16.306649077704606,,,,,
15,low,1,"[36.33830834191868, -12.050398939947554]",1,"[36.465277546416296, -13.114938834336884]",0.0,1.0,polynomial_params_deg1_noise_level_low.csv,36.33830834191868,-12.050398939947554,,,,,
16,low,1,"[-15.621443216374578, -13.285971403237818]",1,"[-15.983262130285208, -12.616332742928257]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_low.csv,-15.621443216374578,-13.285971403237818,,,,,
17,low,1,"[7.934929270961264, 13.163807604993922]",2,"[6.820781360566121, 19.04328063645851, -4.966606845405735]",0.2,0.8,polynomial_params_deg1_noise_level_low.csv,7.934929270961264,13.163807604993922,,,,,
18,low,1,"[-36.14579903079992, 37.02302632648844]",2,"[-37.41964000255019, 45.25172460674548, -7.648918091640725]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_low.csv,-36.14579903079992,37.02302632648844,,,,,
19,low,1,"[11.836196826139917, 16.8510690314528]",1,"[11.757722356008298, 16.783747093139922]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_low.csv,11.836196826139917,16.8510690314528,,,,,
20,low,1,"[-19.214325955357737, 15.640002689217676]",2,"[-18.361797384244337, 10.506745389241704, 5.46374755433333]",0.2,0.8,polynomial_params_deg1_noise_level_low.csv,-19.214325955357737,15.640002689217676,,,,,
21,low,1,"[-17.12938343497107, 16.157769169143783]",1,"[-17.435260147415434, 17.03118310436661]",0.2,0.8,polynomial_params_deg1_noise_level_low.csv,-17.12938343497107,16.157769169143783,,,,,
22,low,1,"[12.34895551878184, 12.169392355258577]",1,"[12.21299006561616, 12.12523262862227]",0.8,0.2,polynomial_params_deg1_noise_level_low.csv,12.34895551878184,12.169392355258577,,,,,
23,low,1,"[-19.11901325008361, 16.438801398241054]",4,"[-19.946989559014405, 42.31515295185186, -131.18776905459956, 223.82081179209789, -121.62591195032407]",0.3333333333333333,0.6666666666666666,polynomial_params_deg1_noise_level_low.csv,-19.11901325008361,16.438801398241054,,,,,
24,low,1,"[18.27062433161306, 17.48072978249895]",1,"[19.313517262294987, 16.425469033523786]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_low.csv,18.27062433161306,17.48072978249895,,,,,
