degree,noise_level,n_total,selected_deg_mean,selected_deg_std,selected_deg_min,selected_deg_max,selected_deg_median,c1_mean,c1_std,c1_min,c1_max,c2_mean,c2_std,c2_min,c2_max
1,high,300,1.23,0.641721,1,5,1.0,0.471857,0.277742,0.0,1.0,0.528143,0.277742,0.0,1.0
1,low,300,1.183333,0.532919,1,5,1.0,0.466952,0.288084,0.0,1.0,0.533048,0.288084,0.0,1.0
1,moderate,300,1.093333,0.362943,1,4,1.0,0.46481,0.295315,0.0,1.0,0.53519,0.295315,0.0,1.0
2,high,300,1.806667,0.705418,1,6,2.0,0.44954,0.274214,0.0,1.0,0.55046,0.274214,0.0,1.0
2,low,300,2.043333,0.498951,1,5,2.0,0.426397,0.288497,0.0,1.0,0.573603,0.288497,0.0,1.0
2,moderate,300,1.886667,0.578739,1,4,2.0,0.442889,0.27842,0.0,1.0,0.557111,0.27842,0.0,1.0
3,high,300,1.86,0.659685,1,5,2.0,0.439714,0.278528,0.0,1.0,0.560286,0.278528,0.0,1.0
3,low,300,2.203333,0.746445,1,6,2.0,0.43581,0.27524,0.0,1.0,0.56419,0.27524,0.0,1.0
3,moderate,300,2.003333,0.671933,1,4,2.0,0.437254,0.272101,0.0,1.0,0.562746,0.272101,0.0,1.0
4,high,300,2.133333,0.728463,1,5,2.0,0.435032,0.266212,0.0,1.0,0.564968,0.266212,0.0,1.0
4,low,300,2.476667,0.728853,1,4,2.0,0.411079,0.26847,0.0,1.0,0.588921,0.26847,0.0,1.0
4,moderate,300,2.316667,0.831883,1,6,2.0,0.405587,0.274292,0.0,1.0,0.594413,0.274292,0.0,1.0
5,high,300,2.263333,0.771994,1,5,2.0,0.432349,0.262513,0.0,1.0,0.567651,0.262513,0.0,1.0
5,low,300,2.686667,0.814884,1,6,3.0,0.411984,0.275913,0.0,1.0,0.588016,0.275913,0.0,1.0
5,moderate,300,2.39,0.770202,1,5,2.0,0.407508,0.276536,0.0,1.0,0.592492,0.276536,0.0,1.0
6,high,300,2.356667,0.859409,1,5,2.0,0.41319,0.274385,0.0,1.0,0.58681,0.274385,0.0,1.0
6,low,300,2.936667,0.8918,1,6,3.0,0.445857,0.269054,0.0,1.0,0.554143,0.269054,0.0,1.0
6,moderate,300,2.64,0.85996,1,5,3.0,0.43619,0.287206,0.0,1.0,0.56381,0.287206,0.0,1.0
