true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
1,high,3601,1,0.3333333333333333,0.6666666666666666,"[7.7235433539715155, -5.365404351864885]"
1,high,3602,1,0.2,0.8,"[17.60838768387257, -4.837592688899988]"
1,high,3603,1,0.6666666666666666,0.3333333333333333,"[3.6850761357960677, -5.816571850520905]"
1,high,3604,1,0.8,0.2,"[-5.322782108949207, -7.157032846603311]"
1,high,3605,1,0.0,1.0,"[3.6904486750756362, 4.933852661919832]"
1,high,3606,1,0.42857142857142855,0.5714285714285714,"[5.452961936221547, 9.268876811972138]"
1,high,3607,1,0.3333333333333333,0.6666666666666666,"[4.394247067573471, -6.12833774708383]"
1,high,3608,4,0.5,0.5,"[-9.120794479174338, 26.281202026822776, -154.7392902765088, 246.93521297328994, -126.16012212937143]"
1,high,3609,1,0.3333333333333333,0.6666666666666666,"[20.2160173930931, 18.336353752675144]"
1,high,3610,1,0.8,0.2,"[3.654390250205195, 6.100290459457469]"
1,high,3611,3,0.3333333333333333,0.6666666666666666,"[4.2576845891160575, 19.8864389769423, -39.43213706423247, 29.89923713463881]"
1,high,3612,1,0.5,0.5,"[-7.356848853781973, -5.058900343551361]"
1,high,3613,2,0.8,0.2,"[-5.628780775785302, 12.231725679232236, -6.37201822927495]"
1,high,3614,1,0.0,1.0,"[-5.648816432685619, 5.578933737229563]"
1,high,3615,1,0.5,0.5,"[-4.127139011992747, -4.6654390629287175]"
1,high,3616,1,0.5714285714285714,0.42857142857142855,"[4.309056167177005, -6.758737150064077]"
1,high,3617,1,0.2,0.8,"[-3.423801381726501, -4.765802281034257]"
1,high,3618,1,0.5714285714285714,0.42857142857142855,"[-6.180199954532671, -7.791198682319777]"
1,high,3619,1,0.6666666666666666,0.3333333333333333,"[-5.4128838677035835, -3.9575041531226423]"
1,high,3620,1,0.3333333333333333,0.6666666666666666,"[8.21039615193566, 7.258199687578565]"
1,high,3621,1,0.6666666666666666,0.3333333333333333,"[7.973450999030142, -7.057855368649273]"
1,high,3622,1,0.5,0.5,"[2.0541239769485307, -4.815165186974737]"
1,high,3623,1,0.5,0.5,"[1.772728686411835, -9.859720399612089]"
1,high,3624,1,0.0,1.0,"[-2.110084908180254, -4.809964843846427]"
1,high,3625,1,0.5714285714285714,0.42857142857142855,"[9.694591372644064, 10.163965276474642]"
1,high,3626,1,0.42857142857142855,0.5714285714285714,"[-35.0943796827549, -9.354237839786279]"
1,high,3627,1,0.2,0.8,"[7.887933863590477, -8.8194436542745]"
1,high,3628,1,0.2,0.8,"[9.365601878348055, -9.577001051013928]"
1,high,3629,1,0.6666666666666666,0.3333333333333333,"[40.757463970368114, 9.013339012054827]"
1,high,3630,1,0.5714285714285714,0.42857142857142855,"[-11.631885683384946, 7.902911083143888]"
1,high,3631,1,0.5714285714285714,0.42857142857142855,"[-3.086775458087802, 8.237965534345298]"
1,high,3632,1,0.2,0.8,"[-2.8619346162598784, 5.486652855917725]"
1,high,3633,1,0.5714285714285714,0.42857142857142855,"[8.329566951748369, 5.419301132833053]"
1,high,3634,1,0.6666666666666666,0.3333333333333333,"[5.05528028219256, -4.409298691625212]"
1,high,3635,1,0.42857142857142855,0.5714285714285714,"[5.4105319382874795, 6.256725831855277]"
1,high,3636,1,0.8,0.2,"[-4.662253216873987, -5.963580488483885]"
1,high,3637,1,0.5,0.5,"[4.044209667787048, 9.32301985746103]"
1,high,3638,1,0.42857142857142855,0.5714285714285714,"[1.8265550243580844, 6.624315734969207]"
1,high,3639,1,0.42857142857142855,0.5714285714285714,"[-21.644321133767917, 14.364750323518525]"
1,high,3640,1,0.5,0.5,"[-4.883778063259998, 4.872448583370545]"
1,high,3641,1,0.5714285714285714,0.42857142857142855,"[4.049159552904326, -5.80962222417175]"
1,high,3642,1,0.6666666666666666,0.3333333333333333,"[7.523746474626163, 5.676611043443309]"
1,high,3643,1,1.0,0.0,"[6.762585242598623, -9.651825932802387]"
1,high,3644,1,0.2,0.8,"[-10.197529245891381, -5.071443308615146]"
1,high,3645,1,0.42857142857142855,0.5714285714285714,"[-27.009373955040992, 7.295250412624583]"
1,high,3646,2,0.5714285714285714,0.42857142857142855,"[12.859101688375612, -4.2434733926878225, -4.041083207913061]"
