true_degree,noise_level,seed,selected_degree,c1,c2,coefficients
6,moderate,3301,2,0.0,1.0,"[35.65673618212235, -37.549723170051465, 40.28172556280826]"
6,moderate,3302,1,0.8,0.2,"[6.216850623125465, -7.6224313646180395]"
6,moderate,3303,3,0.6666666666666666,0.3333333333333333,"[-4.5093767949607635, 15.632763246103021, -36.187038230738295, 40.2736382897523]"
6,moderate,3304,3,0.42857142857142855,0.5714285714285714,"[4.371793682235899, 16.117049623440955, -40.25852739569138, 18.129329039651434]"
6,moderate,3305,2,0.6666666666666666,0.3333333333333333,"[3.551392564485872, -3.8948685821688636, -5.3854305567647005]"
6,moderate,3306,2,0.0,1.0,"[3.1740370937033355, 1.383352153142836, -9.439334777062001]"
6,moderate,3307,2,0.5,0.5,"[2.650489310968753, -7.572090186863072, 19.5529811802853]"
6,moderate,3308,2,1.0,0.0,"[3.3472659242617637, -4.834242898585558, -7.361108857094165]"
6,moderate,3309,2,1.0,0.0,"[-21.55690722259497, -29.367816263895495, 40.11561837017875]"
6,moderate,3310,1,0.0,1.0,"[-24.360536967182174, 10.465545095047005]"
6,moderate,3311,2,0.42857142857142855,0.5714285714285714,"[-2.7771185954924302, -3.7658066165450843, 21.22881460949582]"
6,moderate,3312,4,0.6666666666666666,0.3333333333333333,"[8.37375788409615, -14.614618939952916, 141.16007509035867, -248.08593725720917, 138.4595971887115]"
6,moderate,3313,2,0.5,0.5,"[4.328413170967418, -2.9415922040627533, -6.8747706333398035]"
6,moderate,3314,3,0.2,0.8,"[21.425380475138336, -20.937896015721098, -18.087021438270522, 42.75634279692106]"
6,moderate,3315,2,0.6666666666666666,0.3333333333333333,"[3.279527776275133, -8.547202307174256, -8.469710115238637]"
6,moderate,3316,1,1.0,0.0,"[-7.001106292428456, 9.329902815235862]"
6,moderate,3317,1,0.2,0.8,"[3.4957765057803045, -13.42438046535919]"
6,moderate,3318,2,0.8,0.2,"[-9.460368172392954, 30.168053462176545, -43.5547564858728]"
6,moderate,3319,3,0.6666666666666666,0.3333333333333333,"[-3.5552782962897296, -1.763560838954733, 15.301068514977608, -24.655228990195038]"
6,moderate,3320,3,0.5,0.5,"[-7.60625802707594, -14.459463335905363, -9.977871542993727, 16.53673170872745]"
6,moderate,3321,3,0.3333333333333333,0.6666666666666666,"[-6.806804387628722, 27.652297608918378, -60.26452029571577, 47.17662999865809]"
