degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem
1,low,silverman,0.16034895031549223,0.015640097052456257,0.2786451450976553,0.007326444515962375,0.5382944569354855,0.035277177111232995
1,low,cv,0.26125196582153876,0.13095904857476307,0.2670276609297788,0.010479186802544472,0.6665916352651919,0.14856709954456798
1,moderate,silverman,0.17600696063751234,0.029439674084223957,0.277047693672712,0.009486977730938092,0.5318198515225433,0.03153850140246647
1,moderate,cv,0.16720230769979508,0.03456810180691535,0.2621819179468639,0.011558456241730502,0.5110956848163148,0.029212274134501916
1,high,silverman,0.17755067999615953,0.019021569788917093,0.28200319484865854,0.00796147344625724,0.5335364713206627,0.03604540415844955
1,high,cv,0.17404584702065962,0.026941975554401483,0.27102871649933064,0.009002292362729022,0.5254608093491304,0.027606552542031877
2,low,silverman,0.42130237349197464,0.029298211150399506,0.4777473915401894,0.01700303809682557,0.7876183391451267,0.031398915804185766
2,low,cv,0.2777286773257146,0.016930791237095354,0.383344066075902,0.009054620357273642,0.6943644671824093,0.024631106984717866
2,moderate,silverman,0.2661579809561618,0.019718064925443587,0.38305349480075734,0.01262996947154267,0.6466834052482249,0.024278762886110795
2,moderate,cv,0.25401549816553615,0.025018160767995904,0.36143836476031493,0.009228236240154706,0.6532041630096423,0.024279342856708123
2,high,silverman,0.2501298970304451,0.026145582018147442,0.35560262187798214,0.012391712332361833,0.6170520665057749,0.029933149039840755
2,high,cv,0.26273578680215576,0.033501613308786524,0.3526133918125583,0.01120348361431205,0.6174779203731041,0.025879744286816823
3,low,silverman,0.4421192277188819,0.043107328459660636,0.4685769399084951,0.017476851470923916,0.8136268059286739,0.034869213309139016
3,low,cv,0.35767580430418844,0.03697296384811676,0.4052994226208965,0.011311411616886835,0.7298367739892613,0.03279746395503966
3,moderate,silverman,0.32376748704350244,0.038041812294108246,0.3956983475208151,0.013032060507803415,0.6728233656122566,0.027940684018491518
3,moderate,cv,0.3226896069260304,0.03802761303312954,0.38760057481937915,0.010934766953433815,0.7413434524111712,0.04209763835536586
3,high,silverman,0.19432335537955853,0.019109400062370937,0.3191655025919622,0.009864809854931945,0.5771867547865367,0.030754566732619063
3,high,cv,0.24596494651138756,0.03464384069061605,0.3300557165480164,0.009655408396440884,0.5652758586361315,0.02350263395945786
4,low,silverman,0.6528989244596872,0.0778061207289926,0.5414122718588723,0.021077489415451386,0.9460201830127445,0.042160221676167724
4,low,cv,0.4023697920211734,0.04884213574214641,0.4193474202445063,0.011938042668495552,0.7862580090881636,0.04042592745903449
4,moderate,silverman,0.38973091809299776,0.03494676886004599,0.42884672731293205,0.015712453446618063,0.7473996724943972,0.030875394040004316
4,moderate,cv,0.33178977243799407,0.02819552676699832,0.3886069380165845,0.011088664548328403,0.7127582778260827,0.03515707915785177
4,high,silverman,0.2947476637212565,0.041286838158248365,0.36946167708622596,0.013086193631494662,0.6482224719558027,0.03456520816105724
4,high,cv,0.30176158916689283,0.03894171029622819,0.3740318033265344,0.011506197659371954,0.673833151597883,0.031225604858943302
5,low,silverman,0.785945227358886,0.06951189928192013,0.6056269785726922,0.021222644692785012,1.1196229385735967,0.043487048336745056
5,low,cv,0.5549335429967787,0.07394916121075937,0.45618577657726045,0.01358857772810757,0.8596216629623512,0.033925832204761634
5,moderate,silverman,0.41325777720447526,0.03070177255173524,0.45404028450428713,0.014146369243484561,0.8239507300192269,0.03243233956069466
5,moderate,cv,0.5562972646833023,0.1663934818119877,0.41880594962432305,0.014837023335083655,0.7597519934796304,0.031684956190843126
5,high,silverman,0.3026799531922536,0.02672921117014248,0.3803200265601247,0.011414239408109015,0.6526463443153103,0.030441358250394873
5,high,cv,0.3580801443119906,0.046426815567393385,0.38577551697465273,0.010902983361911655,0.7612272754483421,0.06598386672118318
6,low,silverman,0.9720951992621345,0.0732231049165751,0.6604084201201641,0.022155176753040254,1.280631235612657,0.051319815437253634
6,low,cv,0.5130539742750074,0.046652257890718224,0.4602747911571326,0.011674445606836356,0.8354375905295879,0.03235053830551691
6,moderate,silverman,0.5909359094484824,0.0793693216629167,0.4991056597711467,0.018389860675291067,0.9402003579003962,0.04294194216113939
6,moderate,cv,0.4534272241121771,0.12152121105915734,0.4111899076210152,0.013355561389100098,0.8213334688873528,0.07375723527432594
6,high,silverman,0.32013449955527834,0.03469514351822623,0.39623784391980565,0.012377661087206174,0.6834974478395003,0.02638760841673928
6,high,cv,0.3189524852514755,0.03351781525634631,0.3830012055771633,0.010124940417339499,0.7100189342206371,0.02911024084982782
