degree;noise_level;Столбец1;imse_mean;imse_sem;imae_mean;imae_sem;maxerr_mean;maxerr_sem;bandwidth_mean;bandwidth_std;n_success;Столбец12
1;low;silverman;0,160;0,016;0,279;0,007;0,538;0,035;0,152;0,014;300;silverman
1;low;5-fold cv;0,157;0,018;0,266;0,010;0,510;0,022;12,412;11,013;300;5-fold cv
1;low;loocv;0,146;0,016;0,262;0,009;0,518;0,023;14,468;10,684;300;loocv
1;moderate;silverman;0,176;0,029;0,277;0,009;0,532;0,032;0,152;0,014;300;silverman
1;moderate;5-fold cv;0,167;0,035;0,256;0,012;0,521;0,032;13,721;10,826;300;5-fold cv
1;moderate;loocv;0,179;0,035;0,265;0,012;0,539;0,031;14,883;10,578;300;loocv
1;high;silverman;0,178;0,019;0,282;0,008;0,534;0,036;0,151;0,013;300;silverman
1;high;5-fold cv;0,162;0,017;0,270;0,010;0,536;0,026;12,267;11,127;300;5-fold cv
1;high;loocv;0,150;0,014;0,267;0,009;0,516;0,022;13,654;10,895;300;loocv
2;low;silverman;0,421;0,029;0,478;0,017;0,788;0,031;0,151;0,013;300;silverman
2;low;5-fold cv;1,218;0,744;0,416;0,018;1,099;0,380;1,340;5,099;300;5-fold cv
2;low;loocv;0,320;0,032;0,389;0,010;0,695;0,028;0,992;4,344;300;loocv
2;moderate;silverman;0,266;0,020;0,383;0,013;0,647;0,024;0,151;0,013;300;silverman
2;moderate;5-fold cv;0,367;0,077;0,373;0,012;0,682;0,031;2,251;6,488;300;5-fold cv
2;moderate;loocv;0,380;0,082;0,368;0,012;0,656;0,026;2,400;6,638;300;loocv
2;high;silverman;0,250;0,026;0,356;0,012;0,617;0,030;0,151;0,013;300;silverman
2;high;5-fold cv;0,280;0,035;0,357;0,012;0,618;0,028;3,936;8,400;300;5-fold cv
2;high;loocv;0,411;0,110;0,366;0,014;0,727;0,057;3,895;8,341;300;loocv
3;low;silverman;0,442;0,043;0,469;0,017;0,814;0,035;0,152;0,012;300;silverman
3;low;5-fold cv;0,637;0,198;0,419;0,014;0,754;0,043;2,500;7,026;300;5-fold cv
3;low;loocv;0,463;0,119;0,406;0,012;0,722;0,029;2,428;6,918;300;loocv
3;moderate;silverman;0,324;0,038;0,396;0,013;0,673;0,028;0,152;0,014;300;silverman
3;moderate;5-fold cv;0,420;0,071;0,400;0,013;0,737;0,041;2,598;6,999;300;5-fold cv
3;moderate;loocv;0,424;0,059;0,402;0,013;0,758;0,042;2,600;7,024;300;loocv
3;high;silverman;0,194;0,019;0,319;0,010;0,577;0,031;0,151;0,012;300;silverman
3;high;5-fold cv;0,260;0,043;0,333;0,010;0,574;0,023;3,042;7,445;300;5-fold cv
3;high;loocv;0,358;0,115;0,344;0,012;0,614;0,032;3,401;7,888;300;loocv
4;low;silverman;0,653;0,078;0,541;0,021;0,946;0,042;0,152;0,013;300;silverman
4;low;5-fold cv;24,973;24,534;0,456;0,036;0,767;0,033;1,089;4,573;300;5-fold cv
4;low;loocv;301,908;301,001;0,785;0,365;5,332;4,554;1,112;4,572;300;loocv
4;moderate;silverman;0,390;0,035;0,429;0,016;0,747;0,031;0,152;0,014;300;silverman
4;moderate;5-fold cv;0,384;0,046;0,398;0,012;0,752;0,045;2,011;6,241;300;5-fold cv
4;moderate;loocv;0,393;0,057;0,395;0,012;0,746;0,038;1,883;6,067;300;loocv
4;high;silverman;0,295;0,041;0,369;0,013;0,648;0,035;0,152;0,014;300;silverman
4;high;5-fold cv;0,409;0,091;0,384;0,013;0,708;0,031;1,658;5,570;300;5-fold cv
4;high;loocv;0,386;0,091;0,380;0,012;0,741;0,048;2,018;6,210;300;loocv
5;low;silverman;0,786;0,070;0,606;0,021;1,120;0,043;0,153;0,013;300;silverman
5;low;5-fold cv;1,775;0,896;0,481;0,025;1,050;0,106;1,050;4,508;300;5-fold cv
5;low;loocv;1,146;0,477;0,475;0,020;0,946;0,071;0,931;4,239;300;loocv
5;moderate;silverman;0,413;0,031;0,454;0,014;0,824;0,032;0,153;0,014;300;silverman
5;moderate;5-fold cv;0,470;0,073;0,414;0,012;0,819;0,054;1,719;5,785;300;5-fold cv
5;moderate;loocv;0,534;0,163;0,407;0,014;0,821;0,055;1,445;5,295;300;loocv
5;high;silverman;0,303;0,027;0,380;0,011;0,653;0,030;0,151;0,013;300;silverman
5;high;5-fold cv;0,410;0,074;0,391;0,012;0,660;0,024;1,829;5,924;300;5-fold cv
5;high;loocv;1,219;0,877;0,401;0,018;0,679;0,028;1,738;5,839;300;loocv
6;low;silverman;0,972;0,073;0,660;0,022;1,281;0,051;0,152;0,013;300;silverman
6;low;5-fold cv;0,655;0,103;0,471;0,013;0,921;0,052;0,744;3,871;300;5-fold cv
6;low;loocv;0,652;0,098;0,468;0,013;0,854;0,033;0,976;4,556;300;loocv
6;moderate;silverman;0,591;0,079;0,499;0,018;0,940;0,043;0,151;0,012;300;silverman
6;moderate;5-fold cv;1,817;1,301;0,436;0,025;0,865;0,102;0,882;4,082;300;5-fold cv
6;moderate;loocv;1,737;1,280;0,431;0,024;0,832;0,075;0,856;4,031;300;loocv
6;high;silverman;0,320;0,035;0,396;0,012;0,683;0,026;0,152;0,013;300;silverman
6;high;5-fold cv;0,316;0,031;0,385;0,010;0,752;0,040;1,620;5,660;300;5-fold cv
6;high;loocv;0,480;0,140;0,392;0,013;0,959;0,165;1,694;5,802;300;loocv
