degree;noise_level;method;imse_mean;imse_sem;imae_mean;imae_sem;maxerr_mean;maxerr_sem;bandwidth_mean;bandwidth_std;n_used;n_total;n_removed
1;high;cv;0,089;0,005;0,229;0,007;0,437;0,016;13,353;11,041;268;300;32
1;high;loocv;0,093;0,005;0,232;0,007;0,438;0,016;14,900;10,605;268;300;32
1;high;silverman;0,113;0,005;0,256;0,006;0,407;0,012;0,152;0,013;262;300;38
1;low;cv;0,080;0,004;0,220;0,006;0,423;0,014;13,488;10,866;264;300;36
1;low;loocv;0,082;0,004;0,222;0,006;0,428;0,014;15,521;10,338;268;300;32
1;low;silverman;0,109;0,004;0,253;0,005;0,443;0,016;0,152;0,013;273;300;27
1;moderate;cv;0,073;0,004;0,208;0,007;0,392;0,013;14,523;10,672;267;300;33
1;moderate;loocv;0,076;0,004;0,213;0,007;0,404;0,013;15,984;10,201;263;300;37
1;moderate;silverman;0,101;0,004;0,244;0,006;0,414;0,014;0,153;0,013;265;300;35
2;high;cv;0,179;0,008;0,322;0,008;0,538;0,019;4,019;8,490;277;300;23
2;high;loocv;0,172;0,008;0,315;0,008;0,541;0,019;4,153;8,566;270;300;30
2;high;silverman;0,160;0,007;0,310;0,008;0,514;0,018;0,151;0,013;271;300;29
2;low;cv;0,219;0,009;0,360;0,008;0,607;0,017;1,482;5,365;270;300;30
2;low;loocv;0,214;0,008;0,354;0,007;0,609;0,017;1,087;4,560;272;300;28
2;low;silverman;0,268;0,015;0,398;0,012;0,641;0,021;0,150;0,013;265;300;35
2;moderate;cv;0,182;0,007;0,331;0,007;0,569;0,018;2,375;6,703;274;300;26
2;moderate;loocv;0,180;0,007;0,327;0,007;0,565;0,017;2,393;6,654;275;300;25
2;moderate;silverman;0,181;0,008;0,332;0,008;0,557;0,017;0,151;0,013;273;300;27
3;high;cv;0,155;0,006;0,302;0,007;0,499;0,015;3,308;7,735;275;300;25
3;high;loocv;0,152;0,006;0,298;0,007;0,493;0,015;3,783;8,260;269;300;31
3;high;silverman;0,133;0,005;0,286;0,007;0,480;0,015;0,152;0,012;274;300;26
3;low;cv;0,238;0,010;0,371;0,008;0,645;0,019;2,661;7,253;274;300;26
3;low;loocv;0,229;0,010;0,364;0,008;0,633;0,018;2,600;7,163;272;300;28
3;low;silverman;0,250;0,012;0,388;0,010;0,657;0,021;0,153;0,012;267;300;33
3;moderate;cv;0,209;0,009;0,347;0,007;0,606;0,018;2,531;6,953;265;300;35
3;moderate;loocv;0,212;0,009;0,347;0,007;0,614;0,019;2,760;7,230;266;300;34
3;moderate;silverman;0,206;0,010;0,352;0,009;0,571;0,019;0,152;0,013;272;300;28
4;high;cv;0,200;0,009;0,336;0,007;0,613;0,020;1,815;5,838;272;300;28
4;high;loocv;0,195;0,008;0,335;0,007;0,595;0,020;2,229;6,524;270;300;30
4;high;silverman;0,164;0,007;0,313;0,008;0,517;0,017;0,152;0,013;264;300;36
4;low;cv;0,249;0,011;0,379;0,009;0,677;0,021;1,045;4,516;271;300;29
4;low;loocv;0,243;0,010;0,376;0,008;0,674;0,020;1,079;4,523;270;300;30
4;low;silverman;0,376;0,021;0,462;0,014;0,797;0,029;0,152;0,013;273;300;27
4;moderate;cv;0,224;0,010;0,353;0,009;0,617;0,020;2,060;6,312;269;300;31
4;moderate;loocv;0,220;0,010;0,349;0,008;0,621;0,021;1,994;6,238;270;300;30
4;moderate;silverman;0,266;0,014;0,382;0,011;0,670;0,024;0,152;0,014;280;300;20
5;high;cv;0,216;0,009;0,349;0,008;0,605;0,019;1,679;5,692;273;300;27
5;high;loocv;0,212;0,009;0,345;0,008;0,589;0,019;1,698;5,785;266;300;34
5;high;silverman;0,210;0,009;0,346;0,008;0,567;0,019;0,152;0,012;278;300;22
5;low;cv;0,262;0,011;0,385;0,008;0,723;0,023;1,144;4,750;259;300;41
5;low;loocv;0,299;0,013;0,406;0,009;0,745;0,025;0,974;4,382;268;300;32
5;low;silverman;0,482;0,026;0,521;0,015;0,963;0,031;0,153;0,013;272;300;28
5;moderate;cv;0,240;0,010;0,363;0,008;0,654;0,021;1,832;5,982;268;300;32
5;moderate;loocv;0,217;0,008;0,348;0,007;0,638;0,020;1,554;5,501;263;300;37
5;moderate;silverman;0,268;0,013;0,394;0,010;0,702;0,022;0,153;0,014;270;300;30
6;high;cv;0,207;0,008;0,346;0,007;0,603;0,019;1,715;5,845;269;300;31
6;high;loocv;0,199;0,008;0,338;0,007;0,588;0,018;1,919;6,175;263;300;37
6;high;silverman;0,210;0,009;0,349;0,009;0,586;0,020;0,152;0,013;268;300;32
6;low;cv;0,303;0,013;0,404;0,008;0,719;0,020;0,872;4,211;253;300;47
6;low;loocv;0,301;0,012;0,404;0,007;0,735;0,021;1,117;4,888;260;300;40
6;low;silverman;0,659;0,036;0,579;0,016;1,104;0,039;0,151;0,013;275;300;25
6;moderate;cv;0,250;0,010;0,375;0,008;0,646;0,019;0,957;4,272;274;300;26
6;moderate;loocv;0,242;0,009;0,370;0,008;0,652;0,019;0,935;4,233;272;300;28
6;moderate;silverman;0,325;0,016;0,427;0,011;0,773;0,025;0,151;0,012;271;300;29
