seed,noise_level,true_degree,true_coefficients,selected_degree,selected_coefficients,c1,c2,source_file,true_coeff_0,true_coeff_1,true_coeff_2,true_coeff_3,true_coeff_4,true_coeff_5,true_coeff_6,imse,imae,maxerr,metrics_success
1,low,1,"[-25.855123950633004, 19.330094177238003]",1,"[-26.55512846637323, 20.204285820588314]",0.5714285714285714,0.4285714285714285,polynomial_params_deg1_noise_level_low.csv,-25.855123950633004,19.330094177238003,,,,,,0.13280523385696047,0.2976164380211405,0.6999993048053632,True
2,low,1,"[-9.658242776932996, -16.4008945123143]",1,"[-9.91260392820225, -15.47594033406039]",0.0,1.0,polynomial_params_deg1_noise_level_low.csv,-9.658242776932996,-16.4008945123143,,,,,,0.11460726291283727,0.27806491178731013,0.6705875134613777,True
3,low,1,"[-16.37155677691238, 12.586137818049428]",1,"[-16.726758937836692, 12.908247602862277]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_low.csv,-16.37155677691238,12.586137818049428,,,,,,0.046339387995638,0.19414726851788655,0.3552002408726622,True
4,low,1,"[5.256725799475037, 11.726098974151125]",4,"[5.321632300467838, -5.72762094156979, 98.55953220849949, -157.3954998890035, 76.54113740027032]",0.5,0.5,polynomial_params_deg1_noise_level_low.csv,5.256725799475037,11.726098974151125,,,,,,0.4229385770709598,0.5529160737850289,1.106716640670772,True
5,low,1,"[21.83338300061376, 24.33274976291392]",1,"[21.528442326975625, 24.6676324897783]",0.6666666666666666,0.3333333333333333,polynomial_params_deg1_noise_level_low.csv,21.83338300061376,24.33274976291392,,,,,,0.028251597036454613,0.14017644451496344,0.3049386774487566,True
6,low,1,"[11.817159315827102, -17.874237763210203]",1,"[11.614154867250654, -17.37082479926308]",0.2,0.8,polynomial_params_deg1_noise_level_low.csv,11.817159315827102,-17.874237763210203,,,,,,0.023490605746182693,0.13056489100522184,0.30040551459597964,True
7,low,1,"[-23.56437307130239, 13.904941882656814]",1,"[-23.14583134851765, 13.058439042573207]",0.4285714285714285,0.5714285714285714,polynomial_params_deg1_noise_level_low.csv,-23.56437307130239,13.904941882656814,,,,,,0.059736102770721056,0.2116519130865896,0.4279560714131101,True
8,low,1,"[-18.098432383299485, -20.70271524060018]",1,"[-18.07885016710116, -20.739603247801814]",1.0,0.0,polynomial_params_deg1_noise_level_low.csv,-18.098432383299485,-20.70271524060018,,,,,,0.00011468928419277122,0.009257121041326363,0.01958199631404156,True
9,low,1,"[-11.46154638354497, 11.893943191552042]",1,"[-11.399262658236653, 11.673752333792068]",0.0,1.0,polynomial_params_deg1_noise_level_low.csv,-11.46154638354497,11.893943191552042,,,,,,0.006326293485181329,0.06542943020540638,0.15790581992456332,True
10,low,1,"[68.10176715372462, -16.087050287008974]",1,"[68.42837469998832, -17.166327624909528]",0.5,0.5,polynomial_params_deg1_noise_level_low.csv,68.10176715372462,-16.087050287008974,,,,,,0.14245222357524406,0.3118685057692936,0.7526633582146687,True
