method,degree,noise_level,metric,rank_biserial
cv,1,high,imse,0.45282946669381535
cv,1,high,imae,0.4769150191005977
cv,1,high,maxerr,0.3242853478313601
cv,1,low,imse,0.3088459888468367
cv,1,low,imae,0.34174905434752506
cv,1,low,maxerr,0.23160874588747443
cv,1,moderate,imse,0.3590587172079509
cv,1,moderate,imae,0.39818441599757376
cv,1,moderate,maxerr,0.2275673104003857
cv,2,high,imse,0.3515656755722262
cv,2,high,imae,0.37602154307785873
cv,2,high,maxerr,0.23678412458385603
cv,2,low,imse,0.6772969188223881
cv,2,low,imae,0.6459200009909838
cv,2,low,maxerr,0.42602010185589195
cv,2,moderate,imse,0.3855666210914237
cv,2,moderate,imae,0.36788007883952356
cv,2,moderate,maxerr,0.36836464164094546
cv,3,high,imse,0.24511288482821406
cv,3,high,imae,0.3013252969871361
cv,3,high,maxerr,0.24174014009867872
cv,3,low,imse,0.48577616607301577
cv,3,low,imae,0.4894085253770921
cv,3,low,maxerr,0.4938192473891849
cv,3,moderate,imse,0.3814834346312736
cv,3,moderate,imae,0.41267461618370443
cv,3,moderate,maxerr,0.4579046598504781
cv,4,high,imse,0.33564745848284083
cv,4,high,imae,0.37112973451805803
cv,4,high,maxerr,0.4269558903758624
cv,4,low,imse,0.38468369150351006
cv,4,low,imae,0.3498993050954656
cv,4,low,maxerr,0.39722715205671394
cv,4,moderate,imse,0.39511511342046174
cv,4,moderate,imae,0.36425053917990124
cv,4,moderate,maxerr,0.3953849086498373
cv,5,high,imse,0.33586350850906316
cv,5,high,imae,0.3490956745453414
cv,5,high,maxerr,0.4226768958764888
cv,5,low,imse,0.43691393611917473
cv,5,low,imae,0.4490016933879783
cv,5,low,maxerr,0.4956816039467682
cv,5,moderate,imse,0.46615851015660276
cv,5,moderate,imae,0.44671783141553156
cv,5,moderate,maxerr,0.47178460916189846
cv,6,high,imse,0.25870070592940275
cv,6,high,imae,0.2659919103982755
cv,6,high,maxerr,0.3386298496558425
cv,6,low,imse,0.33207514574987257
cv,6,low,imae,0.3751714481048963
cv,6,low,maxerr,0.5144813213381114
cv,6,moderate,imse,0.3479021850597163
cv,6,moderate,imae,0.39325478551347004
cv,6,moderate,maxerr,0.40441131766170474
loocv,1,high,imse,0.4551175724335793
loocv,1,high,imae,0.46612521779210087
loocv,1,high,maxerr,0.32054371202106563
loocv,1,low,imse,0.29843736041249047
loocv,1,low,imae,0.34757764867318164
loocv,1,low,maxerr,0.2630803237371151
loocv,1,moderate,imse,0.4090925214403839
loocv,1,moderate,imae,0.4444260376545635
loocv,1,moderate,maxerr,0.2989697292395242
loocv,2,high,imse,0.3212527027859189
loocv,2,high,imae,0.3451554336479664
loocv,2,high,maxerr,0.2454544873633815
loocv,2,low,imse,0.6489473153445621
loocv,2,low,imae,0.6172285542359173
loocv,2,low,maxerr,0.4376262186077468
loocv,2,moderate,imse,0.35942023700749015
loocv,2,moderate,imae,0.3430195544409768
loocv,2,moderate,maxerr,0.3499934517199928
loocv,3,high,imse,0.22874824746346936
loocv,3,high,imae,0.2938443787624105
loocv,3,high,maxerr,0.2257642142799865
loocv,3,low,imse,0.47094121607088507
loocv,3,low,imae,0.4716620970051725
loocv,3,low,maxerr,0.4880878840078635
loocv,3,moderate,imse,0.36234982416898387
loocv,3,moderate,imae,0.3853328000497224
loocv,3,moderate,maxerr,0.44233737323175126
loocv,4,high,imse,0.28765551010356205
loocv,4,high,imae,0.3356252888729593
loocv,4,high,maxerr,0.39300410588170537
loocv,4,low,imse,0.3962784869728582
loocv,4,low,imae,0.3564872570666861
loocv,4,low,maxerr,0.3980704099090302
loocv,4,moderate,imse,0.3746106759879215
loocv,4,moderate,imae,0.3360299581872209
loocv,4,moderate,maxerr,0.36889101712516037
loocv,5,high,imse,0.3139037129402676
loocv,5,high,imae,0.3261714049168083
loocv,5,high,maxerr,0.406242962006932
loocv,5,low,imse,0.5041721646171338
loocv,5,low,imae,0.5183129157282939
loocv,5,low,maxerr,0.4931315012495741
loocv,5,moderate,imse,0.3988055790142933
loocv,5,moderate,imae,0.3724827125499006
loocv,5,moderate,maxerr,0.4598859508746797
loocv,6,high,imse,0.20679017461166976
loocv,6,high,imae,0.20877146563587134
loocv,6,high,maxerr,0.2931178549518823
loocv,6,low,imse,0.39437285789033766
loocv,6,low,imae,0.4141073228777745
loocv,6,low,maxerr,0.5231359268171122
loocv,6,moderate,imse,0.29203073498026433
loocv,6,moderate,imae,0.3550115558251327
loocv,6,moderate,maxerr,0.4207856683057986
silverman,1,high,imse,0.6508728101720529
silverman,1,high,imae,0.6564989091773485
silverman,1,high,maxerr,0.16173642041461386
silverman,1,low,imse,0.6461924771007528
silverman,1,low,imae,0.6274083883738633
silverman,1,low,maxerr,0.16712387120599312
silverman,1,moderate,imse,0.7081960897564769
silverman,1,moderate,imae,0.672541359758532
silverman,1,moderate,maxerr,0.2523401949629326
silverman,2,high,imse,0.2776072805133496
silverman,2,high,imae,0.30297028909373475
silverman,2,high,maxerr,0.22750880170920737
silverman,2,low,imse,0.5725364976792849
silverman,2,low,imae,0.5661963664018398
silverman,2,low,maxerr,0.4272229531328419
silverman,2,moderate,imse,0.21418973206311437
silverman,2,moderate,imae,0.22567577505087755
silverman,2,moderate,maxerr,0.28605240971264145
silverman,3,high,imse,0.13466887884358905
silverman,3,high,imae,0.21181372257788114
silverman,3,high,maxerr,0.1875085462729758
silverman,3,low,imse,0.42342878274884266
silverman,3,low,imae,0.4555900292819358
silverman,3,low,maxerr,0.47100753406326396
silverman,3,moderate,imse,0.2523962810127082
silverman,3,moderate,imae,0.3150567825760283
silverman,3,moderate,maxerr,0.32519868352897163
silverman,4,high,imse,0.1118813846746175
