method,degree,noise_level,metric,rank_biserial
cv,1,high,imse,0.37453391998524044
cv,1,high,imae,0.40071865944499785
cv,1,high,maxerr,0.31905452332930273
cv,1,low,imse,0.33752205951719616
cv,1,low,imae,0.3539547112602697
cv,1,low,maxerr,0.26599395157947164
cv,1,moderate,imse,0.37802777818294997
cv,1,moderate,imae,0.4019856629672442
cv,1,moderate,maxerr,0.2497532700670414
cv,2,high,imse,0.3502304887857881
cv,2,high,imae,0.36654795839047566
cv,2,high,maxerr,0.22448998771437217
cv,2,low,imse,0.6368804371824878
cv,2,low,imae,0.6277042601577341
cv,2,low,maxerr,0.41204490305295743
cv,2,moderate,imse,0.4144253339129354
cv,2,moderate,imae,0.40256157365917433
cv,2,moderate,maxerr,0.41937816586353466
cv,3,high,imse,0.24449328574741266
cv,3,high,imae,0.2983217384198173
cv,3,high,maxerr,0.20874842880161476
cv,3,low,imse,0.4761629600878474
cv,3,low,imae,0.4957823176596012
cv,3,low,maxerr,0.4565819965622223
cv,3,moderate,imse,0.3513055220773911
cv,3,moderate,imae,0.3932318204499059
cv,3,moderate,maxerr,0.4145405160513215
cv,4,high,imse,0.3370997250097807
cv,4,high,imae,0.377067927029733
cv,4,high,maxerr,0.4085126508091192
cv,4,low,imse,0.41273599588327364
cv,4,low,imae,0.3920799990660456
cv,4,low,maxerr,0.3728445819555786
cv,4,moderate,imse,0.3808305435503434
cv,4,moderate,imae,0.38789504803801983
cv,4,moderate,maxerr,0.3914273002818581
cv,5,high,imse,0.32454487192570347
cv,5,high,imae,0.337061330963652
cv,5,high,maxerr,0.3456232032503469
cv,5,low,imse,0.4958207117057299
cv,5,low,imae,0.49213488327737687
cv,5,low,maxerr,0.519433050074866
cv,5,moderate,imse,0.41143059831489864
cv,5,moderate,imae,0.40398215336593535
cv,5,moderate,maxerr,0.4511300420119502
cv,6,high,imse,0.24291912985613698
cv,6,high,imae,0.2800845665086959
cv,6,high,maxerr,0.33913460945460056
cv,6,low,imse,0.3487715150328984
cv,6,low,imae,0.3752250128155566
cv,6,low,maxerr,0.4428369280481561
cv,6,moderate,imse,0.30081735141818133
cv,6,moderate,imae,0.37311334027847937
cv,6,moderate,maxerr,0.3121819890722696
loocv,1,high,imse,0.36639438220596093
loocv,1,high,imae,0.38808701826866326
loocv,1,high,maxerr,0.30519427267685045
loocv,1,low,imse,0.30258347754010045
loocv,1,low,imae,0.34523926278906014
loocv,1,low,maxerr,0.30200756684817026
loocv,1,moderate,imse,0.42106750389319647
loocv,1,moderate,imae,0.45784900008446866
loocv,1,moderate,maxerr,0.33333710848917036
loocv,2,high,imse,0.3591379074876411
