true_degree,noise_level,metric,p_raw,p_bonferroni
1,high,imse,3.2671073559622186e-47,9.801322067886656e-47
1,high,imae,2.1443183869223182e-49,6.432955160766954e-49
1,high,maxerr,7.656928069907722e-13,2.2970784209723167e-12
1,low,imse,1.708270771718011e-35,5.124812315154032e-35
1,low,imae,9.78907049694554e-37,2.936721149083662e-36
1,low,maxerr,1.5007481205944564e-08,4.502244361783369e-08
1,moderate,imse,4.187056829467804e-45,1.2561170488403414e-44
1,moderate,imae,1.0027747791618415e-45,3.008324337485525e-45
1,moderate,maxerr,3.212993451852189e-12,9.638980355556568e-12
2,high,imse,1.3172727754953689e-18,3.951818326486107e-18
2,high,imae,2.260416369360706e-21,6.781249108082118e-21
2,high,maxerr,4.64051302806543e-11,1.392153908419629e-10
2,low,imse,1.8481528036478143e-68,5.544458410943443e-68
2,low,imae,1.0312754807066978e-63,3.0938264421200933e-63
2,low,maxerr,1.2187417781108201e-32,3.6562253343324607e-32
2,moderate,imse,2.2413843358042127e-19,6.724153007412638e-19
2,moderate,imae,2.6500483363271417e-18,7.950145008981425e-18
2,moderate,maxerr,4.136038141691965e-21,1.2408114425075895e-20
3,high,imse,2.4911744925947347e-08,7.473523477784204e-08
3,high,imae,1.6482557984377853e-13,4.944767395313356e-13
3,high,maxerr,1.8607734985437033e-09,5.5823204956311095e-09
3,low,imse,4.093941473465661e-37,1.2281824420396984e-36
3,low,imae,1.1525671913193903e-38,3.457701573958171e-38
3,low,maxerr,7.887644492874006e-41,2.366293347862202e-40
3,moderate,imse,1.6097658103653774e-19,4.829297431096132e-19
3,moderate,imae,1.028028492515522e-23,3.0840854775465663e-23
3,moderate,maxerr,1.4140899666409258e-28,4.242269899922777e-28
4,high,imse,7.66188420516421e-12,2.2985652615492628e-11
4,high,imae,1.692871540468645e-16,5.078614621405936e-16
4,high,maxerr,3.826224691987266e-22,1.1478674075961798e-21
4,low,imse,3.131963895543705e-32,9.395891686631115e-32
4,low,imae,1.0996621353859398e-28,3.2989864061578195e-28
4,low,maxerr,7.700529232686566e-33,2.31015876980597e-32
4,moderate,imse,5.113740041881249e-25,1.5341220125643747e-24
4,moderate,imae,3.430608063930943e-22,1.029182419179283e-21
4,moderate,maxerr,4.099400509788798e-27,1.2298201529366394e-26
5,high,imse,2.450805095632649e-15,7.352415286897947e-15
5,high,imae,2.655188432883682e-17,7.965565298651045e-17
5,high,maxerr,7.235898983089424e-24,2.1707696949268273e-23
5,low,imse,6.928742587178696e-48,2.0786227761536088e-47
5,low,imae,2.2654886510150687e-49,6.796465953045206e-49
5,low,maxerr,6.354524102936968e-53,1.9063572308810906e-52
5,moderate,imse,5.620393812310295e-34,1.6861181436930885e-33
5,moderate,imae,3.450056830399126e-33,1.0350170491197378e-32
5,moderate,maxerr,1.361578590636848e-41,4.0847357719105434e-41
6,high,imse,2.2171888251400998e-10,6.651566475420299e-10
6,high,imae,9.905034434215018e-11,2.9715103302645057e-10
6,high,maxerr,1.7045605502280857e-17,5.113681650684257e-17
6,low,imse,1.344289811711839e-35,4.032869435135517e-35
6,low,imae,2.8760166644842687e-41,8.628049993452806e-41
6,low,maxerr,2.0145872636390845e-56,6.043761790917254e-56
6,moderate,imse,1.9358824519940945e-24,5.8076473559822835e-24
6,moderate,imae,1.6400474033316173e-32,4.920142209994852e-32
6,moderate,maxerr,7.389250570867043e-40,2.2167751712601128e-39
