true_degree,noise_level,method_pol,metric,p_raw,p_holm
1,high,cv,imse,4.315739068016899e-13,5.092572100259941e-11
1,high,cv,imae,2.3359058362293348e-14,2.966600412011255e-12
1,high,cv,maxerr,2.1192014784531965e-07,1.0807927540111302e-05
1,high,loocv,imse,4.5171139012885904e-13,5.2850232645076505e-11
1,high,loocv,imae,1.2238380208533596e-13,1.4808440052325652e-11
1,high,loocv,maxerr,3.422473074129819e-07,1.5743376140997165e-05
1,high,silverman,imse,9.560845926261495e-25,1.4532485807917472e-22
1,high,silverman,imae,3.7942108898051425e-25,5.84308477029992e-23
1,high,silverman,maxerr,0.010705805967931461,0.03211741790379438
1,low,cv,imse,6.681291674210507e-07,2.9397683366526232e-05
1,low,cv,imae,3.799409232661224e-08,2.1656632626168977e-06
1,low,cv,maxerr,0.00019347294865348436,0.0038642755189034024
1,low,loocv,imse,1.299432667707948e-06,5.327673937602587e-05
1,low,loocv,imae,1.7327710403251318e-08,1.091645755404833e-06
1,low,loocv,maxerr,1.986116387342948e-05,0.0006156960800763138
1,low,silverman,imse,8.694471709549844e-26,1.3650320583993256e-23
1,low,silverman,imae,2.1051416235597336e-24,3.1577124353396e-22
1,low,silverman,maxerr,0.006618746950368801,0.026474987801475204
1,moderate,cv,imse,8.053391986911775e-09,5.71790831070736e-07
1,moderate,cv,imae,1.59720683357241e-10,1.5173464918937897e-08
1,moderate,cv,maxerr,0.0002569091933771923,0.004290236041027741
1,moderate,loocv,imse,7.0372140053574e-11,7.0421795089163085e-09
1,moderate,loocv,imae,1.4108143186999303e-12,1.580112036943922e-10
1,moderate,loocv,maxerr,1.8904723052171657e-06,7.183794759825229e-05
1,moderate,silverman,imse,1.52507861458927e-29,2.4706273556346174e-27
1,moderate,silverman,imae,8.330299525793078e-27,1.3245176246010994e-24
1,moderate,silverman,maxerr,5.779411215879887e-05,0.0015604410282875696
2,high,cv,imse,1.2660294659855975e-08,8.355794475504944e-07
2,high,cv,imae,1.1544861256532882e-09,9.582234842922292e-08
2,high,cv,maxerr,0.00012675175799579464,0.0026617869179116874
2,high,loocv,imse,2.897509913832658e-07,1.3908047586396757e-05
2,high,loocv,imae,3.554039286450548e-08,2.0613427861413178e-06
2,high,loocv,maxerr,8.869832091535009e-05,0.0021287597019684023
2,high,silverman,imse,8.571717875232754e-06,0.0002742949720074481
2,high,silverman,imae,1.1918769070937227e-06,5.005883009793635e-05
2,high,silverman,maxerr,0.00026506865396132414,0.004290236041027741
