true_degree,noise_level,metric,p_raw,p_bonferroni
1,high,imse,4.315739068016899e-13,1.2947217204050698e-12
1,high,imae,2.3359058362293348e-14,7.007717508688004e-14
1,high,maxerr,2.1192014784531965e-07,6.357604435359589e-07
1,low,imse,6.681291674210507e-07,2.004387502263152e-06
1,low,imae,3.799409232661224e-08,1.1398227697983672e-07
1,low,maxerr,0.00019347294865348436,0.000580418845960453
1,moderate,imse,8.053391986911775e-09,2.4160175960735324e-08
1,moderate,imae,1.59720683357241e-10,4.79162050071723e-10
1,moderate,maxerr,0.0002569091933771923,0.0007707275801315768
2,high,imse,8.571717875232754e-06,2.5715153625698263e-05
2,high,imae,1.1918769070937227e-06,3.575630721281168e-06
2,high,maxerr,0.00026506865396132414,0.0007952059618839724
2,low,imse,1.5639031377170693e-25,4.691709413151207e-25
2,low,imae,2.9805918481483243e-23,8.941775544444972e-23
2,low,maxerr,1.8824224692010473e-12,5.647267407603142e-12
2,moderate,imse,4.005577450223364e-09,1.2016732350670093e-08
2,moderate,imae,1.9602626190899204e-08,5.880787857269761e-08
2,moderate,maxerr,1.0064415046793629e-08,3.019324514038089e-08
3,high,imse,0.031851543056981714,0.09555462917094515
3,high,imae,0.0007361337392038559,0.0022084012176115677
3,high,maxerr,0.0028044732463325885,0.008413419738997766
3,low,imse,3.4800958680060204e-14,1.0440287604018061e-13
3,low,imae,3.182234065899413e-14,9.546702197698239e-14
3,low,maxerr,3.996729488233347e-15,1.199018846470004e-14
3,moderate,imse,6.36888972458297e-05,0.00019106669173748908
3,moderate,imae,5.993137330911689e-07,1.7979411992735068e-06
3,moderate,maxerr,2.5756351623248707e-07,7.726905486974612e-07
4,high,imse,0.07748674380634009,0.23246023141902028
4,high,imae,0.0024714584951541704,0.007414375485462511
4,high,maxerr,0.0003605475393784771,0.0010816426181354314
4,low,imse,2.290864037058284e-10,6.872592111174852e-10
4,low,imae,1.1716821661829502e-08,3.5150464985488506e-08
4,low,maxerr,1.9010769531753672e-10,5.703230859526102e-10
4,moderate,imse,2.5448957602937326e-09,7.634687280881197e-09
4,moderate,imae,9.04751338809582e-08,2.714254016428746e-07
4,moderate,maxerr,4.4222612960017964e-09,1.326678388800539e-08
5,high,imse,0.0005493159854553972,0.0016479479563661914
5,high,imae,7.274418030561269e-05,0.00021823254091683808
5,high,maxerr,2.2865551030320662e-05,6.859665309096199e-05
5,low,imse,5.409809171620123e-12,1.622942751486037e-11
5,low,imae,1.3891663103070563e-12,4.167498930921169e-12
5,low,maxerr,5.210484389152041e-15,1.5631453167456123e-14
5,moderate,imse,3.663688981868848e-10,1.0991066945606544e-09
5,moderate,imae,4.798154703215153e-09,1.4394464109645459e-08
5,moderate,maxerr,4.913326079860923e-13,1.473997823958277e-12
6,high,imse,0.0011542014617895223,0.003462604385368567
6,high,imae,0.0010340266105934824,0.0031020798317804472
6,high,maxerr,4.090924685887433e-06,1.2272774057662297e-05
6,low,imse,6.704368865821068e-10,2.0113106597463205e-09
6,low,imae,9.063180994667072e-11,2.718954298400122e-10
6,low,maxerr,2.6478232733824004e-16,7.943469820147201e-16
6,moderate,imse,2.975674588799079e-06,8.927023766397238e-06
6,moderate,imae,1.3454921561645301e-08,4.0364764684935903e-08
6,moderate,maxerr,1.6669135200080757e-11,5.000740560024227e-11
