degree,noise_level,metric,p_raw,p_bonferroni
1,high,imse,2.2078884185226687e-10,6.623665255568006e-10
1,high,imae,1.7941396616977556e-11,5.382418985093267e-11
1,high,maxerr,1.2493804498981063e-07,3.748141349694319e-07
1,low,imse,1.5979567474436926e-07,4.793870242331078e-07
1,low,imae,2.235222645372431e-09,6.705667936117294e-09
1,low,maxerr,1.686643892811516e-07,5.059931678434549e-07
1,moderate,imse,5.845608280019759e-11,1.7536824840059277e-10
1,moderate,imae,3.340589858422928e-12,1.0021769575268785e-11
1,moderate,maxerr,1.5194236323022114e-05,4.558270896906634e-05
2,high,imse,2.2579935607749557e-06,6.773980682324867e-06
2,high,imae,1.754686671001558e-07,5.264060013004674e-07
2,high,maxerr,0.0002474940580351693,0.0007424821741055078
2,low,imse,1.7850757949596186e-25,5.355227384878855e-25
2,low,imae,2.85034764022748e-25,8.551042920682439e-25
2,low,maxerr,3.7059074294131415e-12,1.1117722288239424e-11
2,moderate,imse,2.0262213892557164e-06,6.078664167767149e-06
2,moderate,imae,3.801492630590705e-07,1.1404477891772115e-06
2,moderate,maxerr,1.190489282958839e-08,3.571467848876517e-08
3,high,imse,0.023799542772058386,0.07139862831617516
3,high,imae,0.00028977438590516467,0.0008693231577154941
3,high,maxerr,0.002004192206668735,0.006012576620006206
3,low,imse,1.0689581790761006e-13,3.206874537228302e-13
3,low,imae,6.319577540508771e-17,1.8958732621526313e-16
3,low,maxerr,4.776774473259707e-16,1.4330323419779122e-15
3,moderate,imse,0.00020666694561980738,0.0006200008368594221
3,moderate,imae,2.740317997325071e-07,8.220953991975213e-07
3,moderate,maxerr,1.5637594058572457e-07,4.691278217571737e-07
4,high,imse,0.012806282573643368,0.0384188477209301
4,high,imae,4.2199165423184144e-05,0.00012659749626955244
4,high,maxerr,5.972800875040457e-06,1.7918402625121374e-05
4,low,imse,6.014111094971346e-19,1.804233328491404e-18
4,low,imae,1.257411344341722e-19,3.772234033025166e-19
4,low,maxerr,1.3895280996752656e-17,4.168584299025797e-17
4,moderate,imse,4.2189092311020063e-11,1.2656727693306018e-10
4,moderate,imae,1.8355522546362525e-11,5.506656763908757e-11
4,moderate,maxerr,1.2040925024541454e-11,3.612277507362436e-11
5,high,imse,0.005553046621212236,0.016659139863636707
5,high,imae,8.143034137499319e-05,0.00024429102412497957
5,high,maxerr,7.6003046596021066e-06,2.280091397880632e-05
5,low,imse,1.975218810595598e-27,5.925656431786794e-27
5,low,imae,3.456133064581488e-29,1.0368399193744464e-28
5,low,maxerr,2.134466158239149e-29,6.403398474717447e-29
5,moderate,imse,2.2115273200571552e-12,6.634581960171466e-12
5,moderate,imae,1.9447681837073889e-16,5.834304551122167e-16
5,moderate,maxerr,1.152173174654923e-16,3.4565195239647694e-16
6,high,imse,2.582311078603036e-05,7.746933235809108e-05
6,high,imae,1.2271239250914344e-06,3.681371775274303e-06
6,high,maxerr,4.2544511569607855e-09,1.2763353470882357e-08
6,low,imse,5.34992071340519e-10,1.6049762140215572e-09
6,low,imae,3.589106403932639e-11,1.0767319211797916e-10
6,low,maxerr,2.858634876386944e-15,8.575904629160832e-15
6,moderate,imse,9.7637787408415e-14,2.92913362225245e-13
6,moderate,imae,1.182984380605677e-19,3.5489531418170307e-19
6,moderate,maxerr,3.92747088121844e-19,1.178241264365532e-18
