dataset_id,generation_type,seed,selected_degree,c1,c2,coefficients,n_samples
0,deterministic,1000,1,0.3333333333333333,0.6666666666666666,"[0.8613864302593232, 0.4701697707408494]",30
1,deterministic,1001,1,0.4285714285714285,0.5714285714285714,"[0.8027580683541222, 0.13109700492072135]",30
2,deterministic,1002,1,0.6666666666666666,0.3333333333333333,"[1.1070044682271485, 0.027990465702569054]",30
3,deterministic,1003,1,0.4285714285714285,0.5714285714285714,"[1.0626138727615773, 0.6783550403548526]",30
4,deterministic,1004,2,0.0,1.0,"[1.1405765099013412, -0.2936854735354769, 0.09621124783742488]",30
5,deterministic,1005,1,0.2,0.8,"[1.5335323483621277, -0.011227315803302678]",30
6,deterministic,1006,1,0.3333333333333333,0.6666666666666666,"[0.372930238675035, 0.6188245068206077]",30
7,deterministic,1007,1,0.2,0.8,"[0.9837327653044005, 0.6275173201905483]",30
8,deterministic,1008,1,0.5,0.5,"[0.7326682836427356, 0.06131636080832645]",30
9,deterministic,1009,1,0.5,0.5,"[0.34248180331706457, 0.25737402952227445]",30
10,deterministic,1010,2,0.6666666666666666,0.3333333333333333,"[0.5699556399795765, -0.41005839408777034, 0.3345499220121661]",30
11,deterministic,1011,1,0.8,0.2,"[1.9833648882095791, -0.427357957505151]",30
12,deterministic,1012,1,0.2,0.8,"[0.969002609415359, 0.19683884761265852]",30
13,deterministic,1013,2,0.5714285714285714,0.4285714285714285,"[1.257617360818418, -0.544798154715655, 0.19394391622056398]",30
14,deterministic,1014,1,0.5,0.5,"[0.9173208285236769, 0.09493709053902818]",30
15,deterministic,1015,1,0.5,0.5,"[1.4610644908011987, 0.06380025870661686]",30
16,deterministic,1016,1,0.2,0.8,"[1.2520837397599485, -0.059728570606503266]",30
17,deterministic,1017,1,0.5714285714285714,0.4285714285714285,"[1.4828858966516016, 0.04516592226827633]",30
18,deterministic,1018,1,0.0,1.0,"[0.7519639144052475, 0.5109994974423562]",30
19,deterministic,1019,1,0.0,1.0,"[0.4918937847523515, 0.5396411664972229]",30
20,deterministic,1020,1,0.4285714285714285,0.5714285714285714,"[1.0949292527523347, -0.04808809298824533]",30
21,deterministic,1021,1,1.0,0.0,"[1.399356215957783, -0.065556772100868]",30
22,deterministic,1022,1,0.3333333333333333,0.6666666666666666,"[0.8530637116415881, 0.20353436188360727]",30
23,deterministic,1023,1,0.5,0.5,"[1.4898530057270118, -0.13335879372846157]",30
24,deterministic,1024,1,0.2,0.8,"[1.1710739526024452, 0.10817055731842226]",30
25,deterministic,1025,1,1.0,0.0,"[0.008718954285408509, 0.7705630611579124]",30
26,deterministic,1026,1,0.3333333333333333,0.6666666666666666,"[1.0967298167128583, 0.32220216179867994]",30
27,deterministic,1027,1,0.3333333333333333,0.6666666666666666,"[1.3556299119617417, 0.2854508228494353]",30
28,deterministic,1028,1,1.0,0.0,"[0.715576076556547, 0.14206285605089225]",30
29,deterministic,1029,1,1.0,0.0,"[1.209559046571396, -0.14722788088929734]",30
30,deterministic,1030,1,0.5714285714285714,0.4285714285714285,"[1.2110125483022416, -0.023120554947171322]",30
31,deterministic,1031,1,0.2,0.8,"[0.34938950595246887, 0.3977097583428167]",30
32,deterministic,1032,1,0.5714285714285714,0.4285714285714285,"[0.8606245469866401, 0.4289340157789863]",30
33,deterministic,1033,2,0.5714285714285714,0.4285714285714285,"[1.1800430310668755, -0.4456039146109523, 0.2006990252812589]",30
34,deterministic,1034,1,0.5,0.5,"[0.7646052610668205, 0.2771203627948]",30
35,deterministic,1035,1,0.8,0.2,"[1.2081182570055553, -0.1419614397455052]",30
36,deterministic,1036,1,0.8,0.2,"[1.9670251362361022, -0.19632842108047405]",30
37,deterministic,1037,1,0.2,0.8,"[1.1447300282448922, 0.05489836652738041]",30
38,deterministic,1038,1,0.0,1.0,"[0.9429658491537857, 0.43395283577498794]",30
39,deterministic,1039,1,0.6666666666666666,0.3333333333333333,"[0.6776183015846242, -0.05708238352071441]",30
40,deterministic,1040,1,0.3333333333333333,0.6666666666666666,"[2.629844476261114, -0.8230119222952347]",30
41,deterministic,1041,1,0.0,1.0,"[1.0809046520441772, -0.08771117434828968]",30
42,deterministic,1042,1,1.0,0.0,"[1.1884462912427713, 0.12581140479838085]",30
43,deterministic,1043,1,0.8,0.2,"[0.7895356955650007, 0.24283438093155077]",30
44,deterministic,1044,1,1.0,0.0,"[1.0900228199928774, 0.05606801397477974]",30
45,deterministic,1045,1,1.0,0.0,"[0.8027806794958886, 0.5961336873376103]",30
46,deterministic,1046,1,0.5,0.5,"[1.9524700451025523, -0.26449665605501865]",30
47,deterministic,1047,1,0.4285714285714285,0.5714285714285714,"[1.2458213567006764, -0.034795153236731026]",30
48,deterministic,1048,1,0.6666666666666666,0.3333333333333333,"[0.8022222443318431, 0.7096189688963667]",30
49,deterministic,1049,1,1.0,0.0,"[0.8435291526025688, 0.09532115881576882]",30
50,deterministic,1050,1,0.5,0.5,"[1.0786395372398085, 0.27520637200810283]",30
51,deterministic,1051,1,0.4285714285714285,0.5714285714285714,"[0.5985641943732839, 0.7838113040203878]",30
52,deterministic,1052,1,0.5,0.5,"[1.2814887580888044, 0.3199924449547869]",30
53,deterministic,1053,1,0.8,0.2,"[1.4245900369269877, -0.13151593373819273]",30
54,deterministic,1054,1,0.3333333333333333,0.6666666666666666,"[1.6162972955735013, -0.45525708157864075]",30
55,deterministic,1055,1,0.5,0.5,"[1.676872400095654, -0.1494303076859041]",30
56,deterministic,1056,1,0.6666666666666666,0.3333333333333333,"[0.5641366953772827, 0.03053083041402666]",30
57,deterministic,1057,1,0.5,0.5,"[1.7732085961002064, -0.1495460032694927]",30
58,deterministic,1058,1,0.2,0.8,"[1.2640497591886073, 0.11891335763425126]",30
59,deterministic,1059,1,0.2,0.8,"[1.63186940837244, -0.41620465854562455]",30
60,deterministic,1060,1,0.0,1.0,"[1.302487335650325, 0.019844024198530916]",30
61,deterministic,1061,1,0.5714285714285714,0.4285714285714285,"[1.473637870943235, 0.02652211002507065]",30
62,deterministic,1062,1,0.0,1.0,"[1.185969231187589, 0.04772277147266273]",30
63,deterministic,1063,1,0.4285714285714285,0.5714285714285714,"[0.41863483789616907, 0.6227902450086527]",30
64,deterministic,1064,1,0.5714285714285714,0.4285714285714285,"[1.2379909545463041, 0.17570215513885623]",30
65,deterministic,1065,1,0.4285714285714285,0.5714285714285714,"[0.6641926785316185, 0.370257830162862]",30
66,deterministic,1066,1,0.3333333333333333,0.6666666666666666,"[0.8600804870557716, 0.3604079808832382]",30
67,deterministic,1067,1,0.4285714285714285,0.5714285714285714,"[0.5177951507390904, 0.14446374993114403]",30
68,deterministic,1068,1,0.2,0.8,"[1.4623917093476928, -0.20712371036311536]",30
69,deterministic,1069,1,0.5,0.5,"[0.759449356076163, 0.07820837526792201]",30
70,deterministic,1070,1,1.0,0.0,"[1.1908227130363502, 0.01878333392277326]",30
71,deterministic,1071,1,0.5,0.5,"[0.48859455963140963, 0.24733389755409024]",30
72,deterministic,1072,1,0.0,1.0,"[0.6240008550807029, 0.27806280123006105]",30
73,deterministic,1073,1,0.4285714285714285,0.5714285714285714,"[0.8003667220111785, 0.33339460961084993]",30
74,deterministic,1074,1,1.0,0.0,"[1.2290172420320422, 0.240442670034958]",30
75,deterministic,1075,1,0.0,1.0,"[0.5989069543418014, 0.3640736307567317]",30
76,deterministic,1076,1,0.2,0.8,"[1.062250849815289, 0.1250575757873772]",30
77,deterministic,1077,1,0.0,1.0,"[1.1734840794838866, 0.07770581698329357]",30
78,deterministic,1078,1,0.2,0.8,"[1.2223243900275975, 0.17400393449342275]",30
79,deterministic,1079,1,0.8,0.2,"[1.7039158422843599, -0.2625041704775887]",30
80,deterministic,1080,1,1.0,0.0,"[1.1576969283622596, 0.16530449366020297]",30
81,deterministic,1081,1,0.5714285714285714,0.4285714285714285,"[1.2492986006823448, 0.017960129864623444]",30
82,deterministic,1082,1,1.0,0.0,"[1.1319035713528063, -0.5192779403349761]",30
83,deterministic,1083,1,0.8,0.2,"[1.2005990852038777, 0.3795177118270554]",30
84,deterministic,1084,1,1.0,0.0,"[1.2974634772258522, 0.08518159403747715]",30
85,deterministic,1085,2,0.6666666666666666,0.3333333333333333,"[1.2823827132565324, -0.33493991661397543, 0.11619297794975143]",30
86,deterministic,1086,1,0.0,1.0,"[0.6757292781304376, 0.5128293949458339]",30
87,deterministic,1087,1,0.8,0.2,"[0.18291468902990554, 0.4442860235115496]",30
88,deterministic,1088,1,0.5714285714285714,0.4285714285714285,"[1.1495787763697516, 0.07505023437866053]",30
89,deterministic,1089,1,0.5,0.5,"[0.9540660486285852, 0.21261826315498727]",30
90,deterministic,1090,1,0.2,0.8,"[1.29579116919464, 0.09299152753170188]",30
91,deterministic,1091,1,0.8,0.2,"[1.5772007558396315, 0.07820535989571188]",30
92,deterministic,1092,1,0.5,0.5,"[0.37656444780682197, 0.3447894013866209]",30
93,deterministic,1093,1,0.5714285714285714,0.4285714285714285,"[0.23517435421577784, 0.6146220101890293]",30
94,deterministic,1094,1,0.5,0.5,"[1.0227920293498571, 0.23877160108569032]",30
95,deterministic,1095,2,1.0,0.0,"[0.6252340317538105, 1.354019915780092, -0.4629729080416544]",30
96,deterministic,1096,2,0.6666666666666666,0.3333333333333333,"[0.9123720502696502, -0.02285623011336468, 0.0668621327708781]",30
97,deterministic,1097,1,0.4285714285714285,0.5714285714285714,"[0.9531621439065366, 0.3175839285859234]",30
98,deterministic,1098,1,0.4285714285714285,0.5714285714285714,"[0.9095337642142532, 0.42886725987794194]",30
99,deterministic,1099,1,0.8,0.2,"[1.5258925158838954, -0.28260344865483705]",30
100,deterministic,1100,1,0.2,0.8,"[0.7557848732974719, 0.11337436899840665]",30
101,deterministic,1101,1,0.8,0.2,"[1.1377089760855683, 0.22794775905757833]",30
102,deterministic,1102,1,0.2,0.8,"[0.6213710433487813, 0.20803653544560552]",30
103,deterministic,1103,1,0.0,1.0,"[0.9781264128173125, 0.42793810020693196]",30
104,deterministic,1104,1,0.2,0.8,"[1.584676793800691, 0.3047372517855744]",30
105,deterministic,1105,1,0.8,0.2,"[1.0171025693962843, 0.2889840590115788]",30
106,deterministic,1106,1,0.2,0.8,"[1.6294771456060264, -0.2754797812734232]",30
107,deterministic,1107,1,0.0,1.0,"[0.5622816414016655, 0.30689219283947344]",30
108,deterministic,1108,1,0.3333333333333333,0.6666666666666666,"[1.6649908710119727, -0.05881868443862836]",30
109,deterministic,1109,1,0.0,1.0,"[1.7708911706738129, 0.10817661636684431]",30
110,deterministic,1110,1,0.5714285714285714,0.4285714285714285,"[0.8818709811588846, 0.3689813707764036]",30
111,deterministic,1111,1,1.0,0.0,"[0.47084260211635853, 0.5907923584159107]",30
112,deterministic,1112,1,0.8,0.2,"[0.7368195249884343, 0.560072008611836]",30
113,deterministic,1113,2,0.5,0.5,"[1.1229723401405525, -1.060349215573292, 0.6402317223540578]",30
114,deterministic,1114,1,0.0,1.0,"[0.9466978451856942, 0.35077020811498016]",30
115,deterministic,1115,1,0.5714285714285714,0.4285714285714285,"[1.391374611829748, 0.12476135016169901]",30
116,deterministic,1116,1,0.4285714285714285,0.5714285714285714,"[1.0532141027124633, 0.29249540689658643]",30
117,deterministic,1117,1,0.4285714285714285,0.5714285714285714,"[1.4719910148597193, 0.2643936471072339]",30
118,deterministic,1118,1,1.0,0.0,"[1.7415289836286887, -0.22910952052454508]",30
119,deterministic,1119,1,1.0,0.0,"[1.1729125223457098, 0.18984596795633363]",30
120,deterministic,1120,2,0.2,0.8,"[0.7726760768717965, -0.25287854394322046, 0.3384896121561902]",30
121,deterministic,1121,1,0.3333333333333333,0.6666666666666666,"[1.3089620989107198, -0.2655593476225129]",30
122,deterministic,1122,2,0.8,0.2,"[1.044555670559932, -0.47987305287021403, 0.23180811041958574]",30
123,deterministic,1123,1,1.0,0.0,"[0.6401427678769442, 0.6667115425066152]",30
124,deterministic,1124,1,0.3333333333333333,0.6666666666666666,"[1.5166054215352154, -0.20794528375745283]",30
125,deterministic,1125,1,0.8,0.2,"[0.7686818255830075, 0.2335179085716856]",30
126,deterministic,1126,2,0.0,1.0,"[0.8225293784035606, -0.2809612288056598, 0.3688481991821687]",30
127,deterministic,1127,1,0.5,0.5,"[1.3671174733206743, -0.2797554054444278]",30
128,deterministic,1128,1,0.5,0.5,"[0.9557442770993598, 0.19506340570899613]",30
129,deterministic,1129,1,0.2,0.8,"[0.3512476446862903, 0.33263781426020217]",30
130,deterministic,1130,1,0.5714285714285714,0.4285714285714285,"[1.6920332611043492, -0.14616399541283567]",30
131,deterministic,1131,1,0.3333333333333333,0.6666666666666666,"[0.9502846200488285, 0.19703220964602378]",30
132,deterministic,1132,1,0.6666666666666666,0.3333333333333333,"[1.5404581342626817, 0.05467692114649609]",30
133,deterministic,1133,1,0.5,0.5,"[1.3155360812894654, 0.38242686725267333]",30
134,deterministic,1134,1,0.5,0.5,"[0.661639109109543, 0.21247902085307088]",30
