method,generation_type,metric,rank_biserial
cv,deterministic,imse,0.7222304017265359
cv,deterministic,imae,0.8342642283300142
cv,deterministic,maxerr,0.6396832025498811
cv,stochastic,imse,0.6649464849025503
cv,stochastic,imae,0.8013221367516097
cv,stochastic,maxerr,0.5523751416532704
loocv,deterministic,imse,0.7180070566523814
loocv,deterministic,imae,0.8339186819148562
loocv,deterministic,maxerr,0.6526987841875025
loocv,stochastic,imse,0.6636410873341753
loocv,stochastic,imae,0.8254335977204186
loocv,stochastic,maxerr,0.5430069943978734
silverman,deterministic,imse,0.8045472366264185
silverman,deterministic,imae,0.8624454581884629
silverman,deterministic,maxerr,0.6786915534166166
silverman,stochastic,imse,0.796638063123911
silverman,stochastic,imae,0.8625990343729776
silverman,stochastic,maxerr,0.628049806572892
