generation_type,dataset_id,method_pol,metric,p_raw,p_holm
deterministic,0,cv,imse,1.0,1.0
deterministic,0,cv,imae,1.0,1.0
deterministic,0,cv,maxerr,1.0,1.0
deterministic,0,loocv,imse,1.0,1.0
deterministic,0,loocv,imae,1.0,1.0
deterministic,0,loocv,maxerr,1.0,1.0
deterministic,0,silverman,imse,1.0,1.0
deterministic,0,silverman,imae,1.0,1.0
deterministic,0,silverman,maxerr,1.0,1.0
deterministic,1,cv,imse,1.0,1.0
deterministic,1,cv,imae,1.0,1.0
deterministic,1,cv,maxerr,1.0,1.0
deterministic,1,loocv,imse,1.0,1.0
deterministic,1,loocv,imae,1.0,1.0
deterministic,1,loocv,maxerr,1.0,1.0
deterministic,1,silverman,imse,1.0,1.0
deterministic,1,silverman,imae,1.0,1.0
deterministic,1,silverman,maxerr,1.0,1.0
deterministic,2,cv,imse,1.0,1.0
deterministic,2,cv,imae,1.0,1.0
deterministic,2,cv,maxerr,1.0,1.0
deterministic,2,loocv,imse,1.0,1.0
deterministic,2,loocv,imae,1.0,1.0
deterministic,2,loocv,maxerr,1.0,1.0
deterministic,2,silverman,imse,1.0,1.0
deterministic,2,silverman,imae,1.0,1.0
deterministic,2,silverman,maxerr,1.0,1.0
deterministic,3,cv,imse,1.0,1.0
deterministic,3,cv,imae,1.0,1.0
deterministic,3,cv,maxerr,1.0,1.0
deterministic,3,loocv,imse,1.0,1.0
deterministic,3,loocv,imae,1.0,1.0
deterministic,3,loocv,maxerr,1.0,1.0
deterministic,3,silverman,imse,1.0,1.0
deterministic,3,silverman,imae,1.0,1.0
deterministic,3,silverman,maxerr,1.0,1.0
deterministic,4,cv,imse,1.0,1.0
deterministic,4,cv,imae,1.0,1.0
deterministic,4,cv,maxerr,1.0,1.0
deterministic,4,loocv,imse,1.0,1.0
deterministic,4,loocv,imae,1.0,1.0
deterministic,4,loocv,maxerr,1.0,1.0
deterministic,4,silverman,imse,1.0,1.0
deterministic,4,silverman,imae,1.0,1.0
deterministic,4,silverman,maxerr,1.0,1.0
deterministic,5,cv,imse,1.0,1.0
deterministic,5,cv,imae,1.0,1.0
deterministic,5,cv,maxerr,1.0,1.0
deterministic,5,loocv,imse,1.0,1.0
deterministic,5,loocv,imae,1.0,1.0
deterministic,5,loocv,maxerr,1.0,1.0
deterministic,5,silverman,imse,1.0,1.0
deterministic,5,silverman,imae,1.0,1.0
deterministic,5,silverman,maxerr,1.0,1.0
deterministic,6,cv,imse,1.0,1.0
deterministic,6,cv,imae,1.0,1.0
deterministic,6,cv,maxerr,1.0,1.0
deterministic,6,loocv,imse,1.0,1.0
deterministic,6,loocv,imae,1.0,1.0
deterministic,6,loocv,maxerr,1.0,1.0
deterministic,6,silverman,imse,1.0,1.0
deterministic,6,silverman,imae,1.0,1.0
deterministic,6,silverman,maxerr,1.0,1.0
deterministic,7,loocv,imse,1.0,1.0
deterministic,7,loocv,imae,1.0,1.0
deterministic,7,loocv,maxerr,1.0,1.0
deterministic,7,silverman,imse,1.0,1.0
deterministic,7,silverman,imae,1.0,1.0
deterministic,7,silverman,maxerr,1.0,1.0
deterministic,8,cv,imse,1.0,1.0
deterministic,8,cv,imae,1.0,1.0
deterministic,8,cv,maxerr,1.0,1.0
deterministic,8,loocv,imse,1.0,1.0
deterministic,8,loocv,imae,1.0,1.0
deterministic,8,loocv,maxerr,1.0,1.0
deterministic,8,silverman,imse,1.0,1.0
deterministic,8,silverman,imae,1.0,1.0
deterministic,8,silverman,maxerr,1.0,1.0
deterministic,12,cv,imse,1.0,1.0
deterministic,12,cv,imae,1.0,1.0
deterministic,12,cv,maxerr,1.0,1.0
deterministic,12,loocv,imse,1.0,1.0
deterministic,12,loocv,imae,1.0,1.0
deterministic,12,loocv,maxerr,1.0,1.0
deterministic,12,silverman,imse,1.0,1.0
deterministic,12,silverman,imae,1.0,1.0
deterministic,12,silverman,maxerr,1.0,1.0
deterministic,13,cv,imse,1.0,1.0
deterministic,13,cv,imae,1.0,1.0
deterministic,13,cv,maxerr,1.0,1.0
deterministic,13,loocv,imse,1.0,1.0
deterministic,13,loocv,imae,1.0,1.0
deterministic,13,loocv,maxerr,1.0,1.0
deterministic,13,silverman,imse,1.0,1.0
deterministic,13,silverman,imae,1.0,1.0
deterministic,13,silverman,maxerr,1.0,1.0
deterministic,14,cv,imse,1.0,1.0
deterministic,14,cv,imae,1.0,1.0
deterministic,14,cv,maxerr,1.0,1.0
deterministic,14,loocv,imse,1.0,1.0
deterministic,14,loocv,imae,1.0,1.0
deterministic,14,loocv,maxerr,1.0,1.0
deterministic,14,silverman,imse,1.0,1.0
deterministic,14,silverman,imae,1.0,1.0
deterministic,14,silverman,maxerr,1.0,1.0
deterministic,15,cv,imse,1.0,1.0
deterministic,15,cv,imae,1.0,1.0
deterministic,15,cv,maxerr,1.0,1.0
deterministic,15,loocv,imse,1.0,1.0
deterministic,15,loocv,imae,1.0,1.0
deterministic,15,loocv,maxerr,1.0,1.0
deterministic,15,silverman,imse,1.0,1.0
deterministic,15,silverman,imae,1.0,1.0
deterministic,15,silverman,maxerr,1.0,1.0
deterministic,16,cv,imse,1.0,1.0
deterministic,16,cv,imae,1.0,1.0
